sku	product_name	category	prev_year_cost	prev_year_price	prev_year_margin	new_cost	prev_year_sales	win_rate
WTR-CH-2P5KG-IND	Calcium Hypochlorite (65%), Industrial Grade, 2.5 kg	Water Treatment	27.84	34.71	0.198	28.14	8891.15	0.7325
BAS-SB-50LB-ACS	Sodium Bicarbonate, ACS Reagent Grade, 50 lb Bag	Bases & Alkalis	140.8	201.44	0.301	152.05	252503.11	0.426
PIG-PG-500G-TECH	Phthalocyanine Green, 500 g	Pigments & Dyes	23.85	54.86	0.5653	24.41	0	
OIL-MO-500ML-IND	Mineral Oil (White, Heavy), Industrial Grade, 500 mL	Oils & Waxes	4.72	6.97	0.3229	5.64	0	
PIG-TD-2P5KG-TECH	Titanium Dioxide (Anatase), 2.5 kg	Pigments & Dyes	42.02	66.41	0.3673	42.17	260843.56	0.6054
SOL-HEXA-500ML-IND	Hexanes, Industrial Grade, 500 mL	Solvents	5.51	6.79	0.1888	5.82	0	
OXD-HP-1G-TECH	Hydrogen Peroxide (35%), 1 Gal	Industrial Gases & Oxidizers	28.95	44.17	0.3446	30.56	5030.02	0.5648
SOL-1-500ML-IND	1,4-Dioxane, Industrial Grade, 500 mL	Solvents	9.77	13.07	0.2523	10.46	0	
ACD-FA-1G-IND	Formic Acid (88%), Industrial Grade, 1 Gal	Acids	44.72	59.25	0.2452	56.39	16299.65	0.6501
ACD-HA-55G-ACS	Hydrochloric Acid, ACS Reagent Grade, 55 Gal Drum	Acids	997.16	1390.88	0.2831	1059.29	0	
OXD-HP-500ML-TECH	Hydrogen Peroxide (35%), 500 mL	Industrial Gases & Oxidizers	4.37	6.28	0.304	4.61	173374.68	0.4722
SOL-METH-55G-IND	Methanol, Industrial Grade, 55 Gal Drum	Solvents	764.81	1180.63	0.3522	758.24	635613	0.8196
ACD-OA-500G-IND	Oxalic Acid, Industrial Grade, 500 g	Acids	7.72	10.62	0.2729	8.23	9080.44	0.3751
SAL-CS-25KG-IND	Copper Sulfate, Industrial Grade, 25 kg Bag	Salts & Inorganic Compounds	182.68	243.21	0.2489	210.55	0	
SOL-TURP-500ML-TECH	Turpentine, 500 mL	Solvents	6.01	8.93	0.3271	6.52	0	
SOL-MS-1G-TECH	Mineral Spirits, 1 Gal	Solvents	25.04	31.48	0.2045	25.3	27977.36	0.7144
SOL-2-PR-1G-ACS	2-Propanol, ACS Reagent Grade, 1 Gal	Solvents	36.31	44.6	0.1858	37.45	460050.56	0.6989
WTR-FS-500G-IND	Ferrous Sulfate, Industrial Grade, 500 g	Water Treatment	1.95	2.61	0.252	1.96	0	
SOL-ACET-500ML-IND-2	Acetonitrile, Industrial Grade, 500 mL	Solvents	14.74	18.57	0.2064	16.12	0	
SAL-MS-2P5KG-TECH	Magnesium Sulfate (Epsom Salt), 2.5 kg	Salts & Inorganic Compounds	10.92	14.45	0.2443	11.51	174283.59	0.4811
ACD-BA-500G-TECH	Boric Acid, 500 g	Acids	4.26	5.97	0.2864	5.45	899732.89	0.3249
SAL-ST-500G-IND	Sodium Thiosulfate, Industrial Grade, 500 g	Salts & Inorganic Compounds	4.07	5.24	0.2239	4.39	16003.19	0.7075
BAS-SC-25KG-IND	Sodium Carbonate (Soda Ash), Industrial Grade, 25 kg Bag	Bases & Alkalis	122.05	177.03	0.3106	130.92	0	
BAS-CO-25KG-IND	Calcium Oxide (Quicklime), Industrial Grade, 25 kg Bag	Bases & Alkalis	73.49	113.66	0.3534	79.95	0	
ACD-OA-25KG-TECH	Oxalic Acid, 25 kg Bag	Acids	264.48	346.97	0.2377	281.95	527580.65	0.3128
ACD-NA-5G-IND	Nitric Acid, Industrial Grade, 5 Gal	Acids	118.36	191.78	0.3828	123.16	0	
SAL-SS-25KG-TECH-2	Sodium Sulfide (60%), 25 kg Bag	Salts & Inorganic Compounds	153.16	231.37	0.338	153.57	0	
ADD-DP-500ML-TECH	Diisononyl Phthalate (DINP), 500 mL	Plasticizers & Additives	8.22	12.64	0.3497	8.96	120466.04	0.6901
ACD-GA-5G-IND	Glycolic Acid (70%), Industrial Grade, 5 Gal	Acids	230.17	346.66	0.336	216.16	0	
OIL-CO-5G-TECH	Coconut Oil (RBD), 5 Gal	Oils & Waxes	168.08	251.48	0.3316	170.42	1336595.76	0.4211
ACD-SA-55G-TECH	Sulfuric Acid, 55 Gal Drum	Acids	514.61	866.65	0.4062	537.33	752050.6	0.5322
PIG-CB-500G-TECH	Carbon Black (N330), 500 g	Pigments & Dyes	5.25	9.52	0.4486	6.3	0	
SAL-AC-500G-IND	Ammonium Chloride, Industrial Grade, 500 g	Salts & Inorganic Compounds	3.96	5.28	0.2498	4.04	0	
SOL-TOLU-5G-TECH	Toluene, 5 Gal	Solvents	147.96	204.35	0.276	156.15	862563.56	0.5808
SOL-N-ME-5G-TECH	N-Methyl-2-Pyrrolidone (NMP), 5 Gal	Solvents	344.79	443.77	0.223	367.3	0	
SOL-DIME-500ML-IND	Dimethylformamide (DMF), Industrial Grade, 500 mL	Solvents	8.85	11.56	0.2343	10.94	0	
OIL-MO-1G-IND	Mineral Oil (White, Heavy), Industrial Grade, 1 Gal	Oils & Waxes	32.32	41.56	0.2223	38.59	0	
SOL-DE-1G-ACS	Diethyl Ether, ACS Reagent Grade, 1 Gal	Solvents	75.75	117.14	0.3534	78.32	14932.24	0.7732
BAS-TRIE-1G-IND	Triethanolamine (TEA), Industrial Grade, 1 Gal	Bases & Alkalis	51.52	69.71	0.2609	54.7	24253.01	0.4629
SOL-ETHA-55G-TECH	Ethanol (Denatured), 55 Gal Drum	Solvents	1155.61	1844.15	0.3734	1364.49	12500	0.7076
BAS-LH-25KG-IND	Lithium Hydroxide, Industrial Grade, 25 kg Bag	Bases & Alkalis	853.97	1130.38	0.2445	997.08	0	
SOL-ETHA-500ML-IND	Ethanol (Denatured), Industrial Grade, 500 mL	Solvents	5.04	7.32	0.3117	5.95	55669.81	0.5738
RES-PP-500ML-TECH	Polyurethane Prepolymer, 500 mL	Resins & Polymers	11.2	19.87	0.4362	11.87	0	
BAS-SS-500ML-IND	Sodium Silicate, Industrial Grade, 500 mL	Bases & Alkalis	3.73	5.26	0.2905	4.41	262273.65	0.4683
SOL-TOLU-1G-TECH	Toluene, 1 Gal	Solvents	36.28	43.66	0.169	38.29	8980.1	0.8257
SPC-PHOT-500G-IND-2	Photoinitiator (Irgacure 184), Industrial Grade, 500 g	Specialty Chemicals	44.55	83.71	0.4678	43.53	33621.76	0.1413
BAS-CO-25KG-TECH	Calcium Oxide (Quicklime), 25 kg Bag	Bases & Alkalis	73.48	103.44	0.2896	79.93	0	
BAS-CH-500G-TECH	Calcium Hydroxide, 500 g	Bases & Alkalis	2.37	3.02	0.2143	2.46	0	
PIG-BS-2P5KG-TECH	Barium Sulfate (Blanc Fixe), 2.5 kg	Pigments & Dyes	13.64	29.41	0.5363	13.82	0	
SAL-PN-500G-TECH	Potassium Nitrate, 500 g	Salts & Inorganic Compounds	6.27	8.69	0.2782	6.55	164124.33	0.3769
SOL-CYCL-5G-IND	Cyclohexane, Industrial Grade, 5 Gal	Solvents	167.3	216.68	0.2279	182.75	12013.15	0.6628
PIG-CC-500G-IND	Calcium Carbonate (Ground), Industrial Grade, 500 g	Pigments & Dyes	1.72	2.62	0.3427	1.76	7182.43	0.8005
SOL-CHLO-500ML-TECH	Chloroform, 500 mL	Solvents	7.82	11.29	0.3073	8.28	0	
ACD-MA-500G-ACS	Maleic Acid, ACS Reagent Grade, 500 g	Acids	11.79	19.08	0.3819	12.2	311688.57	0.5005
BAS-SH-25KG-ACS	Sodium Hydroxide (Caustic Soda), ACS Reagent Grade, 25 kg Bag	Bases & Alkalis	148.58	211.11	0.2962	167.87	36605.07	0.7941
WTR-AS-50LB-TECH	Aluminum Sulfate (Alum), 50 lb Bag	Water Treatment	70.42	118.91	0.4078	75.74	0	
SOL-ETHA-55G-USP	Ethanol (Denatured), USP/NF Grade, 55 Gal Drum	Solvents	1904.54	2861.34	0.3344	2248.79	187745.15	0.4868
WTR-PC-1G-IND	Polyaluminum Chloride (PAC), Industrial Grade, 1 Gal	Water Treatment	23.34	35.55	0.3435	24.75	0	
WTR-PC-55G-ACS	Polyaluminum Chloride (PAC), ACS Reagent Grade, 55 Gal Drum	Water Treatment	1201.41	1673.8	0.2822	1273.96	0	
RES-PP-1G-TECH	Polyurethane Prepolymer, 1 Gal	Resins & Polymers	72.65	137.18	0.4704	76.99	0	
WTR-CH-500G-ACS	Calcium Hypochlorite (65%), ACS Reagent Grade, 500 g	Water Treatment	8.77	12.27	0.2855	8.86	322670.64	0.4956
ACD-HA-500ML-TECH	Hydrochloric Acid, 500 mL	Acids	2.76	3.5	0.2107	2.93	0	
WTR-PC-55G-TECH	Polyaluminum Chloride (PAC), 55 Gal Drum	Water Treatment	794.6	1251.28	0.365	842.58	0	
OXD-PP-500G-TECH	Potassium Persulfate, 500 g	Industrial Gases & Oxidizers	7.46	10.68	0.3015	8.06	9640	0.4553
ACD-MA-500G-IND	Maleic Acid, Industrial Grade, 500 g	Acids	8.55	13.19	0.3517	8.85	685337.42	0.712
SAL-SC-500G-TECH	Sodium Chloride (Industrial), 500 g	Salts & Inorganic Compounds	1.46	1.95	0.2525	2.04	0	
SAL-ZC-500G-TECH	Zinc Chloride, 500 g	Salts & Inorganic Compounds	6.26	8.51	0.2645	6.43	0	
BAS-LH-500G-ACS	Lithium Hydroxide, ACS Reagent Grade, 500 g	Bases & Alkalis	33.27	45.69	0.2719	38.85	0	
RES-HR-2P5KG-IND-2	Hydrocarbon Resin (C9), Industrial Grade, 2.5 kg	Resins & Polymers	28.5	43.46	0.3442	29.85	408202.9	0.1815
BAS-PH-25KG-IND	Potassium Hydroxide, Industrial Grade, 25 kg Bag	Bases & Alkalis	157.71	219.63	0.2819	194.4	0	
BAS-AH-500ML-TECH	Ammonium Hydroxide (28%), 500 mL	Bases & Alkalis	3.54	4.94	0.2832	3.59	0	
SOL-CHLO-5G-TECH	Chloroform, 5 Gal	Solvents	210.05	293.97	0.2855	222.43	0	
SAL-CC-2P5KG-IND	Calcium Chloride (Flake), Industrial Grade, 2.5 kg	Salts & Inorganic Compounds	14.62	19.49	0.2499	13.92	0	
ACD-BA-2P5KG-IND	Boric Acid, Industrial Grade, 2.5 kg	Acids	20.97	31.84	0.3413	26.81	259784.29	0.4472
BAS-SB-2P5KG-IND	Sodium Bicarbonate, Industrial Grade, 2.5 kg	Bases & Alkalis	13.62	20.17	0.3247	14.71	8448.31	0.4673
SOL-IA-5G-TECH	Isopropyl Alcohol, 5 Gal	Solvents	96.04	117.77	0.1845	107.66	286317.43	0.5525
SAL-MC-25KG-IND	Magnesium Chloride (Flake), Industrial Grade, 25 kg Bag	Salts & Inorganic Compounds	114.48	179.58	0.3625	121.95	1282329.07	0.5965
SOL-EA-500ML-TECH	Ethyl Acetate, 500 mL	Solvents	4.67	6.21	0.2474	4.87	13635.6	0.6275
ADD-GT-1G-IND	Glycerol Triacetate (Triacetin), Industrial Grade, 1 Gal	Plasticizers & Additives	39.44	64.64	0.3899	43.36	149769.42	0.4225
SPC-PHOT-2P5KG-IND	Photoinitiator (Irgacure 184), Industrial Grade, 2.5 kg	Specialty Chemicals	209.24	447.24	0.5322	204.43	7447.7	0.1
WTR-POLY-25KG-IND-2	Polyacrylamide (Cationic), Industrial Grade, 25 kg Bag	Water Treatment	435.53	644.77	0.3245	490.68	0	
BAS-SC-500G-TECH	Sodium Carbonate (Soda Ash), 500 g	Bases & Alkalis	3.1	4.78	0.3518	3.33	0	
RES-RE-2P5KG-TECH	Rosin Ester, 2.5 kg	Resins & Polymers	28.85	42.21	0.3164	29.4	0	
WTR-SH-50LB-IND	Sodium Hexametaphosphate, Industrial Grade, 50 lb Bag	Water Treatment	157.74	210.27	0.2498	220.11	0	
BAS-LH-25KG-TECH	Lithium Hydroxide, 25 kg Bag	Bases & Alkalis	849.31	1342.11	0.3672	991.64	0	
SRF-SLS-500G-IND	Sodium Lauryl Sulfate (SLS), Industrial Grade, 500 g	Surfactants & Emulsifiers	6.47	9.85	0.3429	6.49	665471.65	0.4114
BAS-SC-50LB-TECH	Sodium Carbonate (Soda Ash), 50 lb Bag	Bases & Alkalis	103.58	139.21	0.2559	111.11	0	
SAL-ZS-50LB-TECH	Zinc Sulfate, 50 lb Bag	Salts & Inorganic Compounds	134.78	183.88	0.267	147.36	0	
BAS-MO-50LB-IND	Magnesium Oxide, Industrial Grade, 50 lb Bag	Bases & Alkalis	139.17	201.91	0.3107	146.81	0	
ACD-OA-55G-TECH	Oleic Acid, 55 Gal Drum	Acids	1512.6	2195.68	0.3111	1648.55	0	
ACD-PA-55G-TECH	Phosphoric Acid (85%), 55 Gal Drum	Acids	922.57	1224.12	0.2463	977.03	25366.28	0.4799
ADD-DP-500ML-IND	Dioctyl Phthalate (DOP), Industrial Grade, 500 mL	Plasticizers & Additives	7.72	13.78	0.4398	8.44	30662.79	0.4107
BAS-DIET-1G-TECH	Diethanolamine (DEA), 1 Gal	Bases & Alkalis	47.32	71.64	0.3395	48.17	0	
WTR-AC-2P5KG-IND	Activated Carbon (Granular), Industrial Grade, 2.5 kg	Water Treatment	31.53	49.26	0.36	33.4	0	
RES-HR-500G-IND	Hydrocarbon Resin (C5), Industrial Grade, 500 g	Resins & Polymers	6.06	11.03	0.4508	6.3	0	
WTR-TP-50LB-ACS	Trisodium Phosphate (TSP), ACS Reagent Grade, 50 lb Bag	Water Treatment	188.78	250.11	0.2452	198.82	0	
RES-SL-1G-IND	Styrene-Butadiene Latex, Industrial Grade, 1 Gal	Resins & Polymers	35.36	54.18	0.3474	51.06	102328.35	0.2361
BAS-MO-500G-ACS	Magnesium Oxide, ACS Reagent Grade, 500 g	Bases & Alkalis	5.68	8.22	0.3088	5.99	0	
ACD-SA-1G-TECH	Sulfuric Acid, 1 Gal	Acids	14.23	21.86	0.3491	14.86	15290.34	0.4492
SOL-GEE-5G-TECH	Glycol Ether EB, 5 Gal	Solvents	187.91	222.99	0.1573	205.45	703984.9	0.3617
BAS-PC-2P5KG-TECH	Potassium Carbonate, 2.5 kg	Bases & Alkalis	21.54	26.01	0.1718	22.96	231051.46	0.8184
SAL-ZC-500G-IND	Zinc Chloride, Industrial Grade, 500 g	Salts & Inorganic Compounds	6.31	8.12	0.223	6.48	0	
OXD-SC-2P5KG-TECH	Sodium Chlorate, 2.5 kg	Industrial Gases & Oxidizers	19.79	30.85	0.3586	22.77	536547.5	0.5039
SAL-PN-50LB-IND	Potassium Nitrate, Industrial Grade, 50 lb Bag	Salts & Inorganic Compounds	203.59	296.35	0.313	212.68	1126704.02	0.2346
SAL-CS-2P5KG-IND	Copper Sulfate, Industrial Grade, 2.5 kg	Salts & Inorganic Compounds	22.69	31.73	0.2849	26.15	0	
SOL-NAPH-5G-TECH	Naphtha, 5 Gal	Solvents	118.85	169.75	0.2998	127.37	0	
RES-PR-500ML-TECH	Polyester Resin (Unsaturated), 500 mL	Resins & Polymers	7.19	10.79	0.3336	8.27	0	
WTR-FS-500G-TECH	Ferrous Sulfate, 500 g	Water Treatment	1.9	3.06	0.379	1.91	0	
SAL-CC-500G-IND	Calcium Chloride (Flake), Industrial Grade, 500 g	Salts & Inorganic Compounds	3.18	4.79	0.3368	3.03	0	
BAS-SB-25KG-ACS	Sodium Bicarbonate, ACS Reagent Grade, 25 kg Bag	Bases & Alkalis	144.84	192.78	0.2487	156.41	16907.79	0.5112
WTR-SH-5G-IND	Sodium Hypochlorite (12.5%), Industrial Grade, 5 Gal	Water Treatment	63.81	112.4	0.4323	74.2	0	
PIG-IOB-500G-IND	Iron Oxide Black, Industrial Grade, 500 g	Pigments & Dyes	5.59	8.18	0.3163	5.84	0	
SOL-N-BU-1G-IND	n-Butanol, Industrial Grade, 1 Gal	Solvents	36.95	47.1	0.2155	39.93	0	
SPC-DEFO-500ML-TECH	Defoamer (Silicone-Based), 500 mL	Specialty Chemicals	14.93	33.18	0.55	16.4	41441.57	0.6222
SAL-PC-25KG-TECH	Potassium Chloride, 25 kg Bag	Salts & Inorganic Compounds	96.36	139.3	0.3083	101.83	0	
SOL-EA-5G-IND	Ethyl Acetate, Industrial Grade, 5 Gal	Solvents	142.97	215.58	0.3368	149.07	66309.16	0.5942
SOL-DE-5G-IND	Diethyl Ether, Industrial Grade, 5 Gal	Solvents	227.18	289.31	0.2148	234.89	722637.31	0.4538
SPC-DA-500ML-IND	Dispersing Agent (Polymeric), Industrial Grade, 500 mL	Specialty Chemicals	17.95	42.06	0.5733	17.99	0	
ACD-NA-55G-IND	Nitric Acid, Industrial Grade, 55 Gal Drum	Acids	1064.07	1595.92	0.3333	1107.26	0	
ACD-FA-25KG-IND	Fumaric Acid, Industrial Grade, 25 kg Bag	Acids	274.44	364.18	0.2464	282.16	35359.56	0.3243
SOL-IA-5G-IND	Isopropyl Alcohol, Industrial Grade, 5 Gal	Solvents	109.57	155.27	0.2943	122.83	24804.47	0.2878
SOL-NAPH-500ML-TECH	Naphtha, 500 mL	Solvents	4.23	5.71	0.2591	4.53	0	
BAS-DIET-5G-TECH	Diethanolamine (DEA), 5 Gal	Bases & Alkalis	193.8	300.62	0.3553	197.27	0	
SOL-ACET-55G-TECH-2	Acetonitrile, 55 Gal Drum	Solvents	3416.09	5140.66	0.3355	3737.01	0	
OIL-SO-1G-TECH	Soybean Oil (Refined), 1 Gal	Oils & Waxes	27.63	42.03	0.3426	27.36	0	
BAS-TRIE-500ML-IND	Triethanolamine (TEA), Industrial Grade, 500 mL	Bases & Alkalis	7.83	10.45	0.251	8.31	6671.62	0.7351
BAS-PH-2P5KG-IND	Potassium Hydroxide, Industrial Grade, 2.5 kg	Bases & Alkalis	18.47	25.66	0.2802	22.77	0	
ACD-FA-5G-IND	Formic Acid (88%), Industrial Grade, 5 Gal	Acids	191.65	260.9	0.2654	241.67	74703.58	0.3462
BAS-MO-2P5KG-IND	Magnesium Oxide, Industrial Grade, 2.5 kg	Bases & Alkalis	17.15	24.04	0.2866	18.09	0	
ACD-OA-5G-ACS	Oleic Acid, ACS Reagent Grade, 5 Gal	Acids	260.95	356.46	0.2679	284.4	0	
PIG-KC-2P5KG-IND	Kaolin Clay, Industrial Grade, 2.5 kg	Pigments & Dyes	8.58	13.42	0.3607	8.52	0	
WTR-SH-2P5KG-TECH	Sodium Hexametaphosphate, 2.5 kg	Water Treatment	19.89	27.78	0.2841	27.75	0	
ADD-DP-5G-IND	Dioctyl Phthalate (DOP), Industrial Grade, 5 Gal	Plasticizers & Additives	209.53	304.68	0.3123	229.03	45872.15	0.3409
SOL-DE-5G-TECH	Diethyl Ether, 5 Gal	Solvents	215.26	264.17	0.1851	222.57	44951.38	0.5143
WTR-FS-500G-ACS	Ferrous Sulfate, ACS Reagent Grade, 500 g	Water Treatment	2.73	4.26	0.3586	2.74	0	
SOL-2-PR-5G-ACS	2-Propanol, ACS Reagent Grade, 5 Gal	Solvents	159.29	217.63	0.2681	164.28	19787.77	0.1888
SPC-BI-500ML-IND	Blocked Isocyanate, Industrial Grade, 500 mL	Specialty Chemicals	23.12	61.82	0.626	24.12	0	
ACD-CA-50LB-IND	Citric Acid, Industrial Grade, 50 lb Bag	Acids	197.88	289.14	0.3156	203.18	0	
SOL-CHLO-5G-IND	Chloroform, Industrial Grade, 5 Gal	Solvents	215.73	282.27	0.2357	228.44	0	
WTR-AC-2P5KG-TECH-2	Activated Carbon (Powdered), 2.5 kg	Water Treatment	27.68	39.6	0.3011	30.41	102792.89	0.8455
PIG-PB-2P5KG-IND	Phthalocyanine Blue, Industrial Grade, 2.5 kg	Pigments & Dyes	96.63	201.24	0.5198	107.68	0	
BAS-SH-50LB-ACS	Sodium Hydroxide (Caustic Soda), ACS Reagent Grade, 50 lb Bag	Bases & Alkalis	131.41	203.6	0.3546	148.47	269749.61	0.6259
WTR-SB-55G-IND	Sodium Bisulfite (38%), Industrial Grade, 55 Gal Drum	Water Treatment	841.53	1156.41	0.2723	861.87	0	
SOL-2-PR-55G-TECH	2-Propanol, 55 Gal Drum	Solvents	910.08	1384.63	0.3427	938.58	1950112.77	0.3881
WTR-SH-500ML-TECH	Sodium Hypochlorite (12.5%), 500 mL	Water Treatment	2.25	3.71	0.394	2.62	0	
SOL-GEE-55G-IND	Glycol Ether EB, Industrial Grade, 55 Gal Drum	Solvents	1754.28	2070.04	0.1525	1917.99	98875.83	0.7592
SAL-SN-25KG-IND	Sodium Nitrate, Industrial Grade, 25 kg Bag	Salts & Inorganic Compounds	161.6	235.63	0.3142	165.71	0	
SOL-DICH-1G-TECH	Dichloromethane (DCM), 1 Gal	Solvents	45.12	63.33	0.2876	45.97	0	
SAL-MC-25KG-TECH	Magnesium Chloride (Flake), 25 kg Bag	Salts & Inorganic Compounds	108.98	147.56	0.2615	116.09	235445.12	0.6321
RES-CC-500G-TECH	Carboxymethyl Cellulose (CMC), 500 g	Resins & Polymers	5.63	8.86	0.3648	6.33	0	
WTR-PC-500ML-IND	Polyaluminum Chloride (PAC), Industrial Grade, 500 mL	Water Treatment	3.67	6.29	0.4168	3.89	0	
SOL-MIK-500ML-IND	Methyl Isobutyl Ketone (MIBK), Industrial Grade, 500 mL	Solvents	7.89	10.3	0.2341	8.31	0	
SOL-N-BU-500ML-TECH	n-Butanol, 500 mL	Solvents	5.44	8.15	0.3325	5.88	0	
BAS-SM-25KG-TECH	Sodium Metasilicate, 25 kg Bag	Bases & Alkalis	124.11	182.87	0.3213	129.73	0	
ACD-CA-50LB-TECH	Citric Acid, 50 lb Bag	Acids	182.6	242.29	0.2464	187.49	0	
PIG-TALC-2P5KG-TECH	Talc (Micronized), 2.5 kg	Pigments & Dyes	9.9	15.69	0.3691	10.64	0	
SAL-AC-2P5KG-IND	Ammonium Chloride, Industrial Grade, 2.5 kg	Salts & Inorganic Compounds	16.35	24.3	0.3272	16.69	0	
BAS-AH-1G-IND	Ammonium Hydroxide (28%), Industrial Grade, 1 Gal	Bases & Alkalis	26.28	34.59	0.2403	26.69	0	
SRF-LAD-500ML-TECH	Lauric Acid Diethanolamide, 500 mL	Surfactants & Emulsifiers	7.25	12.38	0.4142	7.71	114201.22	0.4106
WTR-AS-2P5KG-TECH	Aluminum Sulfate (Alum), 2.5 kg	Water Treatment	8.96	12.8	0.3001	9.64	0	
WTR-AC-50LB-ACS	Activated Carbon (Granular), ACS Reagent Grade, 50 lb Bag	Water Treatment	336.16	451.35	0.2552	356.09	0	
SPC-CA-500G-TECH	Chelating Agent (EDTA), 500 g	Specialty Chemicals	6.06	11.52	0.4739	6.61	172171.48	0.3346
BAS-PH-2P5KG-TECH	Potassium Hydroxide, 2.5 kg	Bases & Alkalis	18.41	27.66	0.3345	22.69	0	
SOL-MEK-1G-IND	Methyl Ethyl Ketone (MEK), Industrial Grade, 1 Gal	Solvents	49.7	66.86	0.2567	63	0	
BAS-SH-2P5KG-IND	Sodium Hydroxide (Caustic Soda), Industrial Grade, 2.5 kg	Bases & Alkalis	12.96	17.15	0.2443	14.64	14905.58	0.82
ADD-FR-25KG-IND	Flame Retardant (ATH), Industrial Grade, 25 kg Bag	Plasticizers & Additives	133.18	227.38	0.4143	144.28	318371.68	0.5353
ADD-DP-1G-IND-2	Dimethyl Phthalate, Industrial Grade, 1 Gal	Plasticizers & Additives	45.32	69.85	0.3512	59.28	0	
WTR-POLY-50LB-IND	Polyacrylamide (Anionic), Industrial Grade, 50 lb Bag	Water Treatment	308.46	413.24	0.2536	323.94	0	
OXD-SP-500G-TECH	Sodium Percarbonate, 500 g	Industrial Gases & Oxidizers	4.66	6.7	0.3044	5.56	22391.94	0.4098
SAL-MS-500G-TECH	Magnesium Sulfate (Epsom Salt), 500 g	Salts & Inorganic Compounds	2.47	3.32	0.2571	2.6	5632.92	0.6852
PIG-DY-500G-TECH	Diarylide Yellow, 500 g	Pigments & Dyes	17.67	34	0.4803	17.52	58238.64	0.3119
BAS-AH-5G-IND	Ammonium Hydroxide (28%), Industrial Grade, 5 Gal	Bases & Alkalis	104.96	150.42	0.3022	106.58	0	
SRF-CA-2P5KG-TECH	Cetyl Alcohol, 2.5 kg	Surfactants & Emulsifiers	25.47	36.27	0.2979	24.14	0	
ACD-GA-55G-TECH	Glycolic Acid (70%), 55 Gal Drum	Acids	1932.56	2732.41	0.2927	1814.96	0	
SOL-CYCL-500ML-TECH	Cyclohexane, 500 mL	Solvents	5.96	7.57	0.2126	6.51	435613.62	0.6669
SOL-METH-500ML-IND	Methanol, Industrial Grade, 500 mL	Solvents	3.12	4.51	0.3086	3.09	85443.35	0.6452
PIG-ZO-500G-TECH	Zinc Oxide, 500 g	Pigments & Dyes	6.38	10.26	0.3782	7.01	171292.5	0.5492
SAL-SS-2P5KG-IND	Sodium Sulfate (Anhydrous), Industrial Grade, 2.5 kg	Salts & Inorganic Compounds	9.95	13.47	0.2616	9.86	10150.23	0.6739
SOL-EA-500ML-IND	Ethyl Acetate, Industrial Grade, 500 mL	Solvents	5.12	6.5	0.2122	5.34	8459.99	0.5278
SOL-GEE-500ML-TECH	Glycol Ether EB, 500 mL	Solvents	6.94	9.68	0.283	7.59	50344.19	0.4607
SOL-TURP-1G-TECH	Turpentine, 1 Gal	Solvents	43.79	56.81	0.2292	47.53	0	
WTR-AS-25KG-IND	Aluminum Sulfate (Alum), Industrial Grade, 25 kg Bag	Water Treatment	76.47	102.95	0.2572	82.25	0	
BAS-SS-5G-IND	Sodium Silicate, Industrial Grade, 5 Gal	Bases & Alkalis	98.18	126.84	0.226	116.19	81198.95	0.59
OXD-HP-500ML-IND	Hydrogen Peroxide (50%), Industrial Grade, 500 mL	Industrial Gases & Oxidizers	5.65	7.06	0.2002	6.11	0	
WTR-IER-500G-IND-2	Ion Exchange Resin (Anion), Industrial Grade, 500 g	Water Treatment	17.59	24.77	0.2898	19.35	9719.95	0.3601
BAS-LH-2P5KG-ACS	Lithium Hydroxide, ACS Reagent Grade, 2.5 kg	Bases & Alkalis	139.4	195.97	0.2887	162.76	0	
ACD-BA-25KG-TECH-2	Benzoic Acid, 25 kg Bag	Acids	235.53	380.96	0.3817	240.06	5500	0.5431
SOL-N-BU-55G-TECH	n-Butanol, 55 Gal Drum	Solvents	1348.6	1751.74	0.2301	1457.37	0	
ACD-MA-50LB-TECH	Maleic Acid, 50 lb Bag	Acids	250.77	422.88	0.407	259.54	169038.32	0.8984
SAL-PC-500G-TECH	Potassium Chloride, 500 g	Salts & Inorganic Compounds	2.75	3.95	0.3036	2.91	0	
ADD-DP-1G-TECH	Diisononyl Phthalate (DINP), 1 Gal	Plasticizers & Additives	55.01	93.96	0.4145	59.95	35735.15	0.4157
ACD-CA-25KG-TECH-2	Chromic Acid, 25 kg Bag	Acids	487.38	820.46	0.406	511.09	35126.61	0.8718
OIL-SO-500ML-TECH	Soybean Oil (Refined), 500 mL	Oils & Waxes	4.44	6.43	0.3093	4.4	0	
SOL-IA-500ML-TECH	Isopropyl Alcohol, 500 mL	Solvents	3.8	5.39	0.2956	4.26	16260.64	0.9055
SOL-HEXA-500ML-TECH	Hexanes, 500 mL	Solvents	4.99	6.37	0.217	5.27	0	
SRF-SA-500G-IND	Stearyl Alcohol, Industrial Grade, 500 g	Surfactants & Emulsifiers	6.54	10.84	0.3966	7.41	5000	0.5455
ACD-FA-25KG-TECH	Fumaric Acid, 25 kg Bag	Acids	254	414.89	0.3878	261.14	6746.84	0.7224
BAS-MONO-5G-IND	Monoethanolamine (MEA), Industrial Grade, 5 Gal	Bases & Alkalis	179.21	278.56	0.3566	192.21	0	
SRF-SLS-2P5KG-IND	Sodium Lauryl Sulfate (SLS), Industrial Grade, 2.5 kg	Surfactants & Emulsifiers	28	49.99	0.4399	28.08	290331.76	0.7576
